Date,btc_price
2016-12-09,773.22
2016-12-10,775.87
2016-12-11,771.05
2016-12-12,778.94
2016-12-13,776.18
2016-12-14,777.66
2016-12-15,776.16
2016-12-16,780.98
2016-12-17,788.57
2016-12-18,790.72
2016-12-19,790.81
2016-12-20,798.99
2016-12-21,834.5
2016-12-22,856.02
2016-12-23,917.26
2016-12-24,891.5
2016-12-25,896.12
2016-12-26,902.09
2016-12-27,925.2
2016-12-28,982.17
2016-12-29,970.72
2016-12-30,960.81
2016-12-31,973.37
2017-01-01,992.95
2017-01-02,1011.45
2017-01-03,1020.67
2017-01-04,1130.3
2017-01-05,1007
2017-01-06,895.71
2017-01-07,909
2017-01-08,923.33
2017-01-09,902.66
2017-01-10,907
2017-01-11,795.77
2017-01-12,812.25
2017-01-13,831.42
2017-01-14,828
2017-01-15,833.31
2017-01-16,834.41
2017-01-17,906
2017-01-18,887.99
2017-01-19,902.92
2017-01-20,894.31
2017-01-21,925.06
2017-01-22,931.22
2017-01-23,910.7
2017-01-24,887
2017-01-25,896
2017-01-26,917.02
2017-01-27,922.63
2017-01-28,924.98
2017-01-29,916.54
2017-01-30,923.23
2017-01-31,970.01
2017-02-01,992.75
2017-02-02,1008.38
2017-02-03,1018
2017-02-04,1035.54
2017-02-05,1016.32
2017-02-06,1022.58
2017-02-07,1053.96
2017-02-08,1056.7
2017-02-09,994.24
2017-02-10,1001.99
2017-02-11,1018.65
2017-02-12,1010
2017-02-13,1002.82
2017-02-14,1013.92
2017-02-15,1014.53
2017-02-16,1038.94
2017-02-17,1057.3
2017-02-18,1062.15
2017-02-19,1059.88
2017-02-20,1089.82
2017-02-21,1128.29
2017-02-22,1128.71
2017-02-23,1186.9
2017-02-24,1186.91
2017-02-25,1158
2017-02-26,1184.91
2017-02-27,1195.81
2017-02-28,1195.08
2017-03-01,1230
2017-03-02,1269.17
2017-03-03,1292.86
2017-03-04,1273.97
2017-03-05,1278.98
2017-03-06,1284.99
2017-03-07,1237.36
2017-03-08,1150.22
2017-03-09,1197.3
2017-03-10,1109.01
2017-03-11,1188.11
2017-03-12,1235.58
2017-03-13,1245.49
2017-03-14,1247.42
2017-03-15,1263
2017-03-16,1175.11
2017-03-17,1069.57
2017-03-18,970
2017-03-19,1019.49
2017-03-20,1044.96
2017-03-21,1114.42
2017-03-22,1034.57
2017-03-23,1025.14
2017-03-24,934.87
2017-03-25,963.72
2017-03-26,973.08
2017-03-27,1042.08
2017-03-28,1045.4
2017-03-29,1043.27
2017-03-30,1042.34
2017-03-31,1088.99
2017-04-01,1092
2017-04-02,1113.99
2017-04-03,1152.6
2017-04-04,1143.99
2017-04-05,1132.99
2017-04-06,1192.3
2017-04-07,1194
2017-04-08,1184.5
2017-04-09,1210.97
2017-04-10,1210
2017-04-11,1223.99
2017-04-12,1214.17
2017-04-13,1177.05
2017-04-14,1173.74
2017-04-15,1178.85
2017-04-16,1177.99
2017-04-17,1189.91
2017-04-18,1201.94
2017-04-19,1214.21
2017-04-20,1236.15
2017-04-21,1249.99
2017-04-22,1247
2017-04-23,1251.98
2017-04-24,1257.29
2017-04-25,1281.16
2017-04-26,1298.44
2017-04-27,1349.26
2017-04-28,1353.34
2017-04-29,1365.43
2017-04-30,1384.55
2017-05-01,1436.5
2017-05-02,1471.99
2017-05-03,1533
2017-05-04,1563.39
2017-05-05,1551.3
2017-05-06,1585.39
2017-05-07,1609.57
2017-05-08,1713
2017-05-09,1720.43
2017-05-10,1794.99
2017-05-11,1837.93
2017-05-12,1695.61
2017-05-13,1792.73
2017-05-14,1799.99
2017-05-15,1747.81
2017-05-16,1777.48
2017-05-17,1813.23
2017-05-18,1899.16
2017-05-19,1976.23
2017-05-20,2058.91
2017-05-21,2057
2017-05-22,2123.29
2017-05-23,2272.75
2017-05-24,2432.97
2017-05-25,2355
2017-05-26,2272.7
2017-05-27,2099.99
2017-05-28,2232.78
2017-05-29,2279.48
2017-05-30,2191.58
2017-05-31,2303.29
2017-06-01,2419.99
2017-06-02,2478.99
2017-06-03,2548.05
2017-06-04,2521.36
2017-06-05,2698
2017-06-06,2871.29
2017-06-07,2685.64
2017-06-08,2799.73
2017-06-09,2811.39
2017-06-10,2931.15
2017-06-11,2998.98
2017-06-12,2655.71
2017-06-13,2709.01
2017-06-14,2432.21
2017-06-15,2409.98
2017-06-16,2480.43
2017-06-17,2634.94
2017-06-18,2515.25
2017-06-19,2596.98
2017-06-20,2725.08
2017-06-21,2643.35
2017-06-22,2679.99
2017-06-23,2690.76
2017-06-24,2574.84
2017-06-25,2505.61
2017-06-26,2407.91
2017-06-27,2575.75
2017-06-28,2553.12
2017-06-29,2530
2017-06-30,2455.19
2017-07-01,2423.63
2017-07-02,2516.66
2017-07-03,2542.41
2017-07-04,2602
2017-07-05,2616.96
2017-07-06,2604.84
2017-07-07,2501.15
2017-07-08,2561.11
2017-07-09,2508.99
2017-07-10,2331.05
2017-07-11,2310.01
2017-07-12,2383.42
2017-07-13,2340
2017-07-14,2217.24
2017-07-15,1964.31
2017-07-16,1911.78
2017-07-17,2235.19
2017-07-18,2308.15
2017-07-19,2258.99
2017-07-20,2873.48
2017-07-21,2657.45
2017-07-22,2825.27
2017-07-23,2754.28
2017-07-24,2762.26
2017-07-25,2564
2017-07-26,2525.99
2017-07-27,2664.99
2017-07-28,2786.07
2017-07-29,2700.21
2017-07-30,2723.99
2017-07-31,2856.88
2017-08-01,2732.59
2017-08-02,2699.9
2017-08-03,2787.02
2017-08-04,2857.34
2017-08-05,3243.49
2017-08-06,3222.22
2017-08-07,3398.23
2017-08-08,3422.43
2017-08-09,3342.8
2017-08-10,3444.98
2017-08-11,3656.15
2017-08-12,3874
2017-08-13,4060.47
2017-08-14,4320.6
2017-08-15,4159.93
2017-08-16,4370.01
2017-08-17,4280.01
2017-08-18,4101.72
2017-08-19,4157.41
2017-08-20,4050.99
2017-08-21,4002
2017-08-22,4092
2017-08-23,4143.49
2017-08-24,4312.03
2017-08-25,4360
2017-08-26,4344.32
2017-08-27,4340.11
2017-08-28,4384.99
2017-08-29,4599
2017-08-30,4581.98
2017-08-31,4743.94
2017-09-01,4947.99
2017-09-02,4649.99
2017-09-03,4626.05
2017-09-04,4498.25
2017-09-05,4432.51
2017-09-06,4616.18
2017-09-07,4624.18
2017-09-08,4350
2017-09-09,4334.36
2017-09-10,4251.36
2017-09-11,4210.72
2017-09-12,4164.52
2017-09-13,3855.32
2017-09-14,3250.4
2017-09-15,3740.02
2017-09-16,3726.51
2017-09-17,3719.97
2017-09-18,4100
2017-09-19,3910.11
2017-09-20,3872.06
2017-09-21,3617.47
2017-09-22,3619.01
2017-09-23,3787.33
2017-09-24,3669.01
2017-09-25,3919.78
2017-09-26,3885.09
2017-09-27,4200
2017-09-28,4189.42
2017-09-29,4156.99
2017-09-30,4339
2017-10-01,4394.81
2017-10-02,4392.71
2017-10-03,4307.99
2017-10-04,4214.84
2017-10-05,4320.04
2017-10-06,4362.99
2017-10-07,4425
2017-10-08,4603.49
2017-10-09,4769.55
2017-10-10,4750
2017-10-11,4814.99
2017-10-12,5440
2017-10-13,5624.8
2017-10-14,5819.13
2017-10-15,5693.7
2017-10-16,5754.9
2017-10-17,5594
2017-10-18,5574.44
2017-10-19,5704.01
2017-10-20,5989.1
2017-10-21,6024.86
2017-10-22,6005.05
2017-10-23,5905.99
2017-10-24,5525.43
2017-10-25,5739.97
2017-10-26,5891.61
2017-10-27,5780
2017-10-28,5752.01
2017-10-29,6140.01
2017-10-30,6124.16
2017-10-31,6445.01
2017-11-01,6783.69
2017-11-02,7039.98
2017-11-03,7170.01
2017-11-04,7412.55
2017-11-05,7392
2017-11-06,6969.76
2017-11-07,7126.63
2017-11-08,7467.96
2017-11-09,7156
2017-11-10,6577.62
2017-11-11,6346.7
2017-11-12,5886.35
2017-11-13,6535.87
2017-11-14,6605
2017-11-15,7294
2017-11-16,7838.53
2017-11-17,7714.71
2017-11-18,7777.01
2017-11-19,8031.82
2017-11-20,8256.01
2017-11-21,8109
2017-11-22,8250
2017-11-23,8031.16
2017-11-24,8215.01
2017-11-25,8795.5
2017-11-26,9401.11
2017-11-27,9768.71
2017-11-28,9949
2017-11-29,9935.98
2017-11-30,9903
2017-12-01,10869.84
2017-12-02,10930.24
2017-12-03,11290
2017-12-04,11643.98
2017-12-05,11718.35
2017-12-06,14090
2017-12-07,17390.01
2017-12-08,16367.03
2017-12-09,15309.98
2017-12-10,15290.01
2017-12-11,16885.76
2017-12-12,17730.12
2017-12-13,16689.61
2017-12-14,16749.78
2017-12-15,17738.67
2017-12-16,19650.01
2017-12-17,19378.99
2017-12-18,19039.01
2017-12-19,17838.73
2017-12-20,16496.89
2017-12-21,15758.8
2017-12-22,14210.57
2017-12-23,15075.89
2017-12-24,14221.94
2017-12-25,14171.98
2017-12-26,15790.88
2017-12-27,15367.08
2017-12-28,14450.01
2017-12-29,14565.05
2017-12-30,12839.99
2017-12-31,13863.13
2018-01-01,13480.01
2018-01-02,14781.51
2018-01-03,15098.14
2018-01-04,15144.99
2018-01-05,16960.01
2018-01-06,17098.99
2018-01-07,16174.22
2018-01-08,14993.74
2018-01-09,14480.99
2018-01-10,14875.18
2018-01-11,13308.06
2018-01-12,13820
2018-01-13,14187.95
2018-01-14,13656.23
2018-01-15,13590
2018-01-16,11570.01
2018-01-17,11200.01
2018-01-18,11305.53
2018-01-19,11498.99
2018-01-20,12762.8
2018-01-21,11518.17
2018-01-22,10766.7
2018-01-23,10824.94
2018-01-24,11356.79
2018-01-25,11118
2018-01-26,11086.89
2018-01-27,11319
2018-01-28,11536
2018-01-29,11123.01
2018-01-30,9995
2018-01-31,10099.99
2018-02-01,9014.23
2018-02-02,8787.52
2018-02-03,9240
2018-02-04,8167.91
2018-02-05,6905.19
2018-02-06,7688.46
2018-02-07,7575.75
2018-02-08,8218.1
2018-02-09,8671.01
2018-02-10,8547.49
2018-02-11,8072.99
2018-02-12,8872.28
2018-02-13,8520.01
2018-02-14,9472.98
2018-02-15,10031.23
2018-02-16,10167.49
2018-02-17,11121.5
2018-02-18,10380.04
2018-02-19,11140
2018-02-20,11235.57
2018-02-21,10454.27
2018-02-22,9830
2018-02-23,10144.99
2018-02-24,9688.62
2018-02-25,9597.99
2018-02-26,10300
2018-02-27,10566.57
2018-02-28,10307.27
2018-03-01,10895.92
2018-03-02,11000
2018-03-03,11432.5
2018-03-04,11469.9
2018-03-05,11377.54
2018-03-06,10700
2018-03-07,9920
2018-03-08,9304.9
2018-03-09,9255
2018-03-10,8795.44
2018-03-11,9533.88
2018-03-12,9120
2018-03-13,9145.41
2018-03-14,8207.03
2018-03-15,8259.99
2018-03-16,8275
2018-03-17,7865.02
2018-03-18,8192
2018-03-19,8497.8
2018-03-20,8900
2018-03-21,8891.81
2018-03-22,8715.09
2018-03-23,8927.1
2018-03-24,8531.34
2018-03-25,8453
2018-03-26,8145
2018-03-27,7793.61
2018-03-28,7942.72
2018-03-29,7079.99
2018-03-30,6848.01
2018-03-31,6928.5
2018-04-01,6816.01
2018-04-02,7045.01
2018-04-03,7424.9
2018-04-04,6791.68
2018-04-05,6785.85
2018-04-06,6619.01
2018-04-07,6894.01
2018-04-08,7020.01
2018-04-09,6771.13
2018-04-10,6824.99
2018-04-11,6942.99
2018-04-12,7916
2018-04-13,7893.19
2018-04-14,8003.11
2018-04-15,8355.25
2018-04-16,8048.93
2018-04-17,7892.1
2018-04-18,8152.05
2018-04-19,8274
2018-04-20,8866.27
2018-04-21,8915.42
2018-04-22,8795.01
2018-04-23,8931.3
2018-04-24,9650
2018-04-25,8865.98
2018-04-26,9272.11
2018-04-27,8922.55
2018-04-28,9329.99
2018-04-29,9389.01
2018-04-30,9243.83
